OBJECTID,NAME,STATE_NAME,FIPS,MED_AGE,AVE_HH_SZ
1,Lake of the Woods,Minnesota,27077,41.600000000000001,2.350000000000000
2,Ferry,Washington,53019,40.000000000000000,2.490000000000000
3,Stevens,Washington,53065,39.200000000000003,2.640000000000000
4,Okanogan,Washington,53047,38.200000000000003,2.580000000000000
5,Pend Oreille,Washington,53051,41.899999999999999,2.510000000000000
6,Boundary,Idaho,16021,38.299999999999997,2.610000000000000
7,Lincoln,Montana,30053,42.100000000000001,2.400000000000000
8,Flathead,Montana,30029,39.000000000000000,2.480000000000000
9,Glacier,Montana,30035,30.600000000000001,3.030000000000000
10,Toole,Montana,30101,39.100000000000001,2.470000000000000
11,Liberty,Montana,30051,41.500000000000000,2.510000000000000
12,Hill,Montana,30041,34.500000000000000,2.530000000000000
13,Sheridan,Montana,30091,45.100000000000001,2.290000000000000
14,Divide,North Dakota,38023,49.000000000000000,2.180000000000000
15,Burke,North Dakota,38013,47.500000000000000,2.210000000000000
16,Renville,North Dakota,38075,43.600000000000001,2.350000000000000
17,Bottineau,North Dakota,38009,43.399999999999999,2.300000000000000
18,Rolette,North Dakota,38079,28.899999999999999,2.970000000000000
19,Towner,North Dakota,38095,44.000000000000000,2.310000000000000
20,Cavalier,North Dakota,38019,45.200000000000003,2.340000000000000
21,Pembina,North Dakota,38067,41.600000000000001,2.380000000000000
22,Kittson,Minnesota,27069,42.399999999999999,2.370000000000000
23,Roseau,Minnesota,27135,35.299999999999997,2.600000000000000
24,Blaine,Montana,30005,34.399999999999999,2.780000000000000
25,Phillips,Montana,30071,40.799999999999997,2.450000000000000
26,Valley,Montana,30105,41.700000000000003,2.380000000000000
27,Daniels,Montana,30019,47.000000000000000,2.220000000000000
28,Whatcom,Washington,53073,34.000000000000000,2.510000000000000
29,Bonner,Idaho,16017,40.799999999999997,2.490000000000000
30,Ward,North Dakota,38101,32.399999999999999,2.460000000000000
31,Koochiching,Minnesota,27071,41.500000000000000,2.330000000000000
32,Skagit,Washington,53057,37.200000000000003,2.600000000000000
33,Williams,North Dakota,38105,39.799999999999997,2.380000000000000
34,McHenry,North Dakota,38049,43.000000000000000,2.350000000000000
35,St. Louis,Minnesota,27137,39.000000000000000,2.320000000000000
36,San Juan,Washington,53055,47.399999999999999,2.160000000000000
37,Roosevelt,Montana,30085,32.299999999999997,2.890000000000000
38,Mountrail,North Dakota,38061,39.600000000000001,2.530000000000000
39,Marshall,Minnesota,27089,40.500000000000000,2.450000000000000
40,Ramsey,North Dakota,38071,39.500000000000000,2.340000000000000
41,Walsh,North Dakota,38099,40.899999999999999,2.390000000000000
42,Beltrami,Minnesota,27007,31.500000000000000,2.630000000000000
43,Pierce,North Dakota,38069,42.899999999999999,2.310000000000000
44,Chelan,Washington,53007,36.299999999999997,2.620000000000000
45,Pondera,Montana,30073,38.600000000000001,2.630000000000000
46,Clallam,Washington,53009,43.799999999999997,2.310000000000000
47,Benson,North Dakota,38005,31.399999999999999,2.970000000000000
48,Chouteau,Montana,30015,39.299999999999997,2.590000000000000
49,Snohomish,Washington,53061,34.700000000000003,2.650000000000000
50,Island,Washington,53029,37.000000000000000,2.520000000000000
51,Sanders,Montana,30089,44.200000000000003,2.350000000000000
52,Lake,Minnesota,27075,42.899999999999999,2.320000000000000
53,Nelson,North Dakota,38063,47.200000000000003,2.180000000000000
54,Grand Forks,North Dakota,38035,29.199999999999999,2.430000000000000
55,Polk,Minnesota,27119,38.200000000000003,2.470000000000000
56,Pennington,Minnesota,27113,37.899999999999999,2.380000000000000
57,Douglas,Washington,53017,35.700000000000003,2.760000000000000
58,McKenzie,North Dakota,38053,39.500000000000000,2.640000000000000
59,Jefferson,Washington,53031,47.100000000000001,2.210000000000000
60,Richland,Montana,30083,39.200000000000003,2.460000000000000
61,Teton,Montana,30099,40.000000000000000,2.510000000000000
62,McCone,Montana,30055,42.399999999999999,2.440000000000000
63,Shoshone,Idaho,16079,41.799999999999997,2.300000000000000
64,Spokane,Washington,53063,35.399999999999999,2.460000000000000
65,Lake,Montana,30047,38.200000000000003,2.540000000000000
66,Clearwater,Minnesota,27029,39.700000000000003,2.480000000000000
67,Kootenai,Idaho,16055,36.100000000000001,2.600000000000000
68,Garfield,Montana,30033,41.600000000000001,2.380000000000000
69,Red Lake,Minnesota,27125,40.399999999999999,2.390000000000000
70,Grant,Washington,53025,31.100000000000001,2.920000000000000
71,Lincoln,Washington,53043,42.799999999999997,2.420000000000000
72,Lewis and Clark,Montana,30049,38.000000000000000,2.380000000000000
73,Kitsap,Washington,53035,35.799999999999997,2.600000000000000
74,Itasca,Minnesota,27061,41.100000000000001,2.430000000000000
75,Sheridan,North Dakota,38083,48.100000000000001,2.310000000000000
