FIPS,POP2000,POP2010,POP_CHANGE
"01001",43671,51766,8095
"01003",140415,186407,45992
"01005",29038,28759,-279
"01007",20826,21801,975
"01009",51024,57566,6542
"01011",11714,10926,-788
"01013",21399,20159,-1240
"01015",112249,113252,1003
"01017",36583,34772,-1811
"01019",23988,24277,289
"01021",39593,42721,3128
"01023",15922,14318,-1604
"01025",27867,26560,-1307
"01027",14254,13878,-376
"01029",14123,14874,751
"01031",43615,48378,4763
"01033",54984,54715,-269
"01035",14089,13266,-823
"01037",12202,11344,-858
"01039",37631,36768,-863
"01041",13665,13812,147
"01043",77483,82529,5046
"01045",49129,48162,-967
"01047",46365,42841,-3524
"01049",64452,68813,4361
"01051",65874,80859,14985
"01053",38440,37531,-909
"01055",103459,104228,769
"01057",18495,17690,-805
"01059",31223,30918,-305
"01061",25764,26158,394
"01063",9974,9278,-696
"01065",17185,18594,1409
"01067",16310,16876,566
"01069",88787,100902,12115
"01071",53926,53366,-560
"01073",662047,662628,581
"01075",15904,14368,-1536
"01077",87966,89528,1562
"01079",34803,34123,-680
"01081",115092,137345,22253
"01083",65676,78950,13274
"01085",13473,12852,-621
"01087",24105,22463,-1642
"01089",276700,329008,52308
"01091",22539,21292,-1247
"01093",31214,29828,-1386
"01095",82231,90261,8030
"01097",399843,410234,10391
"01099",24324,23425,-899
"01101",223510,227425,3915
"01103",111064,117652,6588
"01105",11861,10680,-1181
"01107",20949,19854,-1095
"01109",29605,30173,568
"01111",22380,22785,405
"01113",49756,51860,2104
"01115",64742,83854,19112
"01117",143293,196034,52741
"01119",14798,13252,-1546
"01121",80321,80412,91
"01123",41475,40715,-760
"01125",164875,181821,16946
"01127",70713,69270,-1443
"01129",18097,17370,-727
"01131",13183,12943,-240
"01133",24843,24124,-719
"02013",2697,2844,147
"02016",5465,4493,-972
"02020",260283,287705,27422
"02050",16006,16954,948
"02060",1258,986,-272
"02068",1893,1832,-61
"02070",4922,4812,-110
"02090",82840,95574,12734
"02100",2392,2292,-100
"02110",30711,30761,50
"02122",49691,54058,4367
"02130",14070,13100,-970
"02150",13913,13556,-357
"02164",1823,1496,-327
"02170",59322,88380,29058
"02180",9196,9358,162
"02185",7385,6685,-700
"02188",7208,7406,198
"02201",6146,5496,-650
"02220",8835,8857,22
"02232",3436,2980,-456
"02240",6174,7114,940
"02261",10195,9240,-955
"02270",7028,7772,744
"02280",6684,5804,-880
"02282",808,640,-168
"02290",6551,5556,-995
"04001",69423,73396,3973
"04003",117755,137424,19669
"04005",116320,133020,16700
"04007",51335,53596,2261
"04009",33489,38861,5372
"04011",8547,8499,-48
"04012",19715,20565,850
"04013",3072149,4088920,1016771
"04015",155032,204806,49774
"04017",97470,115613,18143
"04019",843746,1021553,177807
"04021",179727,352324,172597
"04023",38381,46369,7988
"04025",167517,227644,60127
"04027",160026,200639,40613
"05001",20749,19319,-1430
"05003",24209,22667,-1542
"05005",38386,42378,3992
"05007",153406,220516,67110
"05009",33948,37050,3102
"05011",12600,11731,-869
"05013",5744,5559,-185
"05015",25357,28037,2680
"05017",14117,12325,-1792
"05019",23546,23958,412
"05021",17609,16164,-1445
"05023",24046,25516,1470
"05025",8571,8678,107
"05027",25603,24425,-1178
"05029",20336,20860,524
"05031",82148,94875,12727
"05033",53247,60971,7724
"05035",50866,53699,2833
"05037",19526,19076,-450
"05039",9210,8205,-1005
"05041",15341,13843,-1498
"05043",18723,18691,-32
"05045",86014,110794,24780
"05047",17771,18427,656
"05049",11642,11629,-13
"05051",88068,98758,10690
"05053",16464,17592,1128
"05055",37331,41398,4067
"05057",23587,23991,404
"05059",30353,32307,1954
"05061",14300,14333,33
"05063",34233,34975,742
"05065",13249,13167,-82
"05067",18418,17106,-1312
"05069",84278,79931,-4347
"05071",22781,25202,2421
"05073",8559,7798,-761
"05075",17774,17228,-546
"05077",12580,11376,-1204
"05079",14492,14228,-264
"05081",13628,13326,-302
"05083",22486,22806,320
"05085",52828,67762,14934
"05087",14243,15543,1300
"05089",16140,17240,1100
"05091",40443,43729,3286
"05093",51979,47496,-4483
"05095",10254,9120,-1134
"05097",9245,9285,40
"05099",9955,10007,52
"05101",8608,8327,-281
"05103",28790,26275,-2515
"05105",10209,10587,378
"05107",26445,23098,-3347
"05109",11303,10899,-404
"05111",25614,25020,-594
"05113",20229,20383,154
"05115",54469,60416,5947
"05117",9539,8766,-773
"05119",361474,384681,23207
"05121",18195,18331,136
"05123",29329,28744,-585
"05125",83529,102748,19219
"05127",10996,11380,384
"05129",8261,8112,-149
"05131",115071,125325,10254
"05133",15757,16701,944
"05135",17119,18102,983
"05137",11499,12267,768
"05139",45629,43448,-2181
"05141",16192,16852,660
"05143",157715,202637,44922
"05145",67165,75905,8740
"05147",8741,7407,-1334
"05149",21139,22095,956
"06001",1443741,1522142,78401
"06003",1208,1067,-141
"06005",35100,38989,3889
"06007",203171,223877,20706
"06009",40554,47318,6764
"06011",18804,21879,3075
"06013",948816,1063960,115144
"06015",27507,29698,2191
"06017",156299,181909,25610
"06019",799407,943457,144050
"06021",26453,29161,2708
"06023",126518,130108,3590
"06025",142361,177819,35458
"06027",17945,17442,-503
"06029",661645,830222,168577
"06031",129461,156175,26714
"06033",58309,65452,7143
"06035",33828,35861,2033
"06037",9519338,10240505,721167
"06039",123109,152922,29813
"06041",247289,257863,10574
"06043",17130,18512,1382
"06045",86265,87935,1670
"06047",210554,257087,46533
"06049",9449,9505,56
"06051",12853,12838,-15
"06053",401762,427632,25870
"06055",124279,136592,12313
"06057",92033,98135,6102
"06059",2846289,3090761,244472
"06061",248399,352557,104158
"06063",20824,20147,-677
"06065",1545387,2173606,628219
"06067",1223499,1441127,217628
"06069",53234,57128,3894
"06071",1709434,2061421,351987
"06073",2813833,3120279,306446
"06075",776733,814963,38230
"06077",563598,692531,128933
"06079",246681,273572,26891
"06081",707161,735498,28337
"06083",399347,418036,18689
"06085",1682585,1824395,141810
"06087",255602,261161,5559
"06089",163256,182771,19515
"06091",3555,3321,-234
"06093",44301,45600,1299
"06095",394542,420493,25951
"06097",458614,476974,18360
"06099",446997,524533,77536
"06101",78930,96114,17184
"06103",56039,63491,7452
"06105",13022,14137,1115
"06107",368021,442013,73992
"06109",54501,56325,1824
"06111",753197,825436,72239
"06113",168660,203927,35267
"06115",60219,75569,15350
"08001",347983,452396,104413
"08003",14966,15772,806
"08005",487967,573116,85149
"08007",9898,13337,3439
"08009",4517,3985,-532
"08011",5998,5926,-72
"08013",269794,297538,27744
"08014",39232,57194,17962
"08015",16242,17446,1204
"08017",2231,1961,-270
"08019",9322,9196,-126
"08021",8400,8313,-87
"08023",3663,3350,-313
"08025",5518,6682,1164
"08027",3503,4176,673
"08029",27834,31553,3719
"08031",554636,620908,66272
"08033",1844,2045,201
"08035",175766,299923,124157
"08037",41659,54722,13063
"08039",19872,23736,3864
"08041",516929,615884,98955
"08043",46145,48013,1868
"08045",43791,59225,15434
"08047",4757,5264,507
"08049",12442,14932,2490
"08051",13956,15503,1547
"08053",790,858,68
"08055",7862,8031,169
"08057",1577,1413,-164
"08059",525330,542079,16749
"08061",1622,1361,-261
"08063",8011,7994,-17
"08065",7812,8216,404
"08067",43941,52482,8541
"08069",251494,300514,49020
"08071",15207,16542,1335
"08073",6087,5437,-650
"08075",20504,21145,641
"08077",116255,148729,32474
"08079",831,982,151
"08081",13184,14279,1095
"08083",23830,25935,2105
"08085",33432,42389,8957
"08087",27171,28456,1285
"08089",20311,18913,-1398
"08091",3742,4827,1085
"08093",14523,17302,2779
"08095",4480,4582,102
"08097",14872,16100,1228
"08099",14483,13238,-1245
"08101",141472,160630,19158
